task,task_normalized,pct,occ_group_code,title,task_id,task_type,n_responding,date,domain_source,soc_group_code,soc_title,n_occurrences,n_occurrences_soc,pct_occ_weighted,pct_occ_norm,area_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,freq_mean,freq_lower,freq_upper,importance,importance_lower,importance_upper,relevance,relevance_lower,relevance_upper
"Inspect structures to assess material or equipment needs, to establish the sequence of pipe installations, or to plan installation around obstructions such as electrical wiring.",inspect structure to assess material or equipment need to establish the sequence of pipe installation or to plan installation around obstruction such as electrical wiring,0.0072963218720277,47-2152,Plumbers,20442.0,Core,70.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.006000606489870214,0.007331627857043717,U.S.,455940.0,1.2,33.63,69940,0.6,19.55,23.49,30.27,39.37,50.55,40670,48860,62970,81900,105150,,,1.239606923076923,0.3985483076923077,3.593407503846154,3.66,3.2761,4.0375,97.55,92.4002,99.2393
Fill pipes or plumbing fixtures with water or air and observe pressure gauges to detect and locate leaks.,fill pipe or plumbing fixture with water or air and observe pressure gauge to detect and locate leak,0.0044299097080168,47-2152,Plumbers,2895.0,Core,70.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.003643225368849758,0.004451345484633667,U.S.,455940.0,1.2,33.63,69940,0.6,19.55,23.49,30.27,39.37,50.55,40670,48860,62970,81900,105150,,,0.5614715384615385,0.21208950384615385,2.066776569230769,4.02,3.7422,4.3017,99.78,98.9204,99.9571
"Maintain or repair plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains.",maintain or repair plumbing by replace defective washer replace or mend broken pipe or open clogged drain,0.0056025328660212,47-2152,Plumbers,2906.0,Core,70.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.004607608554721715,0.0056296428188013555,U.S.,455940.0,1.2,33.63,69940,0.6,19.55,23.49,30.27,39.37,50.55,40670,48860,62970,81900,105150,,,1.716676923076923,0.7129303769230768,3.85451618076923,3.62,3.169,4.0749,93.43,79.8659,98.0751
Calculate costs or savings for water- or energy-efficient appliances or systems.,calculate cost or saving for water- or energy efficient appliance or system,0.0039087438600148,47-2152,Plumbers,19842.0,Supplemental,70.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.003214610619573297,0.003927657780559094,U.S.,455940.0,1.2,33.63,69940,0.6,19.55,23.49,30.27,39.37,50.55,40670,48860,62970,81900,105150,,,,,,,,,,,
"Review blueprints, building codes, or specifications to determine work details or procedures.",review blueprint building code or specification to determine work detail or procedure,0.0099021511120376,47-2152,Plumbers,2896.0,Core,70.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.00814368023625244,0.009950066377416479,U.S.,455940.0,1.2,33.63,69940,0.6,19.55,23.49,30.27,39.37,50.55,40670,48860,62970,81900,105150,,,1.8416565384615384,0.7805274423076923,4.018825857692308,4.05,3.7736,4.335,99.59,97.3159,99.9382
"Inspect individual parts, assemblies, or installations, using measuring instruments, such as calipers, scales, or micrometers.",inspect individual part assembly or installation use measure instrument such as caliper scale or micrometer,0.0273612070201039,47-2211,Sheet Metal Workers,20642.0,Supplemental,94.0,07/2014,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.022502274337013323,0.02749360446391396,U.S.,117470.0,2.0,31.78,66110,0.8,18.28,22.74,29.26,38.28,49.37,38030,47290,60850,79620,102680,,,6.71026076923077,2.1981367346153844,11.546410073076922,4.4,3.8241,4.9702,45.66,10.1342,86.2317
"Check electrical installation for proper wiring, polarity, grounding, or integrity of terminations.",check electrical installation for proper wiring polarity grounding or integrity of termination,0.011074774270042,47-2231,Solar Photovoltaic Installers,17746.0,Core,66.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.009108063422124396,0.011128363711584169,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,2.087439615384615,1.0201007423076922,4.1257036653846155,4.57,4.3516,4.7798,95.04,80.1627,98.913
"Identify installation locations with proper orientation, area, solar access, or structural integrity for photovoltaic (PV) arrays.",identify installation location with proper orientation area solar access or structural integrity for photovoltaic pv array,0.0067751560240257,47-2231,Solar Photovoltaic Installers,17754.0,Core,66.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.005571991740593753,0.006807940152969144,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,2.2169584615384617,1.0071568076923079,4.639734492307692,4.46,4.2251,4.6919,97.08,90.2801,99.1647
"Program, adjust, or configure inverters and controls for desired set points and operating modes.",program adjust or configure inverter and control for desire set point and operating mode,0.0019543719300074,47-2231,Solar Photovoltaic Installers,17759.0,Core,65.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.0016073053097866484,0.001963828890279547,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,0.9331438461538462,0.3915275384615384,2.623103930769231,4.1,3.8054,4.3935,95.34,82.9669,98.8488
"Determine materials, equipment, and installation sequences necessary to maximize installation efficiency.",determine material equipment and installation sequence necessary to maximize installation efficiency,0.0024755377780094,47-2231,Solar Photovoltaic Installers,17765.0,Core,64.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,2.9103719230769234,1.3054566153846152,6.196939553846153,4.35,4.1076,4.5883,99.31,96.8943,99.8483
"Compile or maintain records of system operation, performance, and maintenance.",compile or maintain record of system operation performance and maintenance,0.0035178694740133,47-2231,Solar Photovoltaic Installers,17763.0,Core,65.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.0028931495576159506,0.0035348920025031648,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,0.8196061538461539,0.3903399461538461,2.3560802538461543,3.77,3.4899,4.0452,95.81,87.4845,98.6822
Determine connection interfaces for additional subpanels or for connecting photovoltaic (PV) systems with utility services or other power generation sources.,determine connection interface for additional subpanel or for connect photovoltaic pv system with utility service or other power generation source,0.0078174877200297,47-2231,Solar Photovoltaic Installers,17748.0,Core,65.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.006429221239146677,0.00785531556111829,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,0.9421753846153846,0.37538486923076925,3.2614899115384617,4.08,3.7523,4.4174,83.0,69.0277,91.4489
"Demonstrate system functionality and performance, including start-up, shut-down, normal operation, and emergency or bypass operations.",demonstrate system functionality and performance include start up shut down normal operation and emergency or bypass operation,0.0036481609360138,47-2231,Solar Photovoltaic Installers,17764.0,Core,65.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.0030003032449350663,0.003665813928521808,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,0.6219380769230769,0.3676934576923077,1.0919337192307692,4.18,3.9234,4.437,93.11,83.0054,97.3922
"Determine appropriate sizes, ratings, and locations for all system overcurrent devices, disconnect devices, grounding equipment, and surge suppression equipment.",determine appropriate size rating and location for all system overcurrent device disconnect device ground equipment and surge suppression equipment,0.0027361207020103,47-2231,Solar Photovoltaic Installers,17747.0,Core,65.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.0022502274337012585,0.002749360446391306,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,1.333806923076923,0.4962992230769231,3.6653490192307694,4.31,4.0354,4.5925,84.1,70.3281,92.1928
Measure and analyze system performance and operating parameters to assess operating condition of systems or equipment.,measure and analyze system performance and operating parameter to assess operating condition of system or equipment,0.0393480215241495,47-2231,Solar Photovoltaic Installers,17758.0,Core,66.0,07/2012,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.03236041357037161,0.03953842165762873,U.S.,28280.0,5.2,27.59,57380,1.6,18.79,22.13,24.93,30.3,38.53,39070,46040,51860,63020,80150,,,0.8652142307692308,0.28163167307692305,3.3014702653846157,4.12,3.9507,4.2838,90.84,78.602,96.3986
"Arrange or store materials, machines, tools, or equipment.",arrange or store material machine tool or equipment,0.0046904926320178,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",13610.0,Core,59.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.0038575327434879894,0.004713189336670954,U.S.,15660.0,6.3,23.91,49730,1.5,17.1,18.56,22.35,27.93,32.85,35570,38600,46480,58080,68330,,,3.7199534615384615,2.1309212923076926,6.227180957692308,3.99,3.6092,4.3629,92.03,79.9138,97.1001
"Sample and test air to identify gasses, such as bromine, ozone, or sulfur dioxide, or particulates, such as mold, dust, or allergens.",sample and test air to identify gas such as bromine ozone or sulfur dioxide or particulate such as mold dust or allergen,0.0061236987140232,47-4011,Construction and Building Inspectors,19867.0,Supplemental,24.0,07/2013,Occupational Expert,47,Construction and Extraction Occupations,1.0,1.0,0.005036223303998176,0.006153330522875928,U.S.,137210.0,2.0,36.75,76430,0.8,22.38,27.55,34.67,44.39,54,46560,57300,72120,92330,112320,,,0.007692307692307693,0.0,0.0,2.29,,,28.0,,
Estimate cost of completed work or of needed renovations or upgrades.,estimate cost of complete work or of need renovation or upgrade,0.0039087438600148,47-4011,Construction and Building Inspectors,20449.0,Supplemental,24.0,07/2013,Occupational Expert,47,Construction and Extraction Occupations,1.0,1.0,0.003214610619573297,0.003927657780559094,U.S.,137210.0,2.0,36.75,76430,0.8,22.38,27.55,34.67,44.39,54,46560,57300,72120,92330,112320,,,0.5089234615384615,0.0,0.0,2.7,,,40.0,,
"Review and interpret plans, blueprints, site layouts, specifications, or construction methods to ensure compliance to legal requirements and safety regulations.",review and interpret plan blueprint site layout specification or construction method to ensure compliance to legal requirement and safety regulation,0.0446899714661698,47-4011,Construction and Building Inspectors,871.0,Core,24.0,07/2013,Occupational Expert,47,Construction and Extraction Occupations,1.0,1.0,0.03675371475045518,0.0449062206243929,U.S.,137210.0,2.0,36.75,76430,0.8,22.38,27.55,34.67,44.39,54,46560,57300,72120,92330,112320,,,2.8001538461538464,0.0,0.0,4.48,,,100.0,,
Identify or separate waste products or materials for recycling or reuse.,identify or separate waste product or material for recycling or reuse,0.0045602011700173,47-4041,Hazardous Materials Removal Workers,19870.0,Supplemental,70.0,07/2015,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.003750379056168874,0.004582267410652311,U.S.,50570.0,2.6,26.8,55740,1.2,17.95,20.53,23.31,29.88,39.65,37330,42710,48490,62150,82480,,,1.8964853846153846,0.6068925884615385,6.242359773076923,4.01,3.0511,4.962,64.72,37.7631,84.7279
Clean and disinfect domestic basements and other areas flooded by sewer stoppages.,clean and disinfect domestic basement and other area flood by sewer stoppage,0.0026058292400099,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,11620.0,Supplemental,109.0,12/2006,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.0021430737463822252,0.002618438520372763,U.S.,29050.0,2.7,25.35,52730,0.7,17.55,20.53,23.62,29,35.42,36500,42700,49140,60320,73670,,,0.44521115384615384,0.05010859615384615,3.354522169230769,3.71,2.6102,4.804,39.25,19.7022,62.9711
Interpret instrument readings to ascertain the depth of obstruction.,interpret instrument reading to ascertain the depth of obstruction,0.0216283826920821,47-5013,"Service Unit Operators, Oil, Gas, and Mining",7088.0,Core,47.0,07/2013,Incumbent,47,Construction and Extraction Occupations,1.0,1.0,0.017787512094972414,0.021733039719093863,U.S.,44120.0,3.6,29.58,61530,1.1,19.24,22.75,27.88,33.9,45.11,40010,47330,57980,70510,93820,,,0.5582892307692308,0.22762515,1.310729823076923,4.09,3.9362,4.2511,78.49,68.2785,86.0807
"Examine objects, systems, or facilities and analyze information to determine needed installations, services, or repairs.",examine object system or facility and analyze information to determine needed installation service or repair,0.0158955583640604,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2915.0,Core,134.0,07/2013,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.013072749852931583,0.015972474974273863,U.S.,600680.0,0.5,39.87,82930,0.3,23.3,29.44,37.64,47.9,59.75,48460,61240,78300,99630,124280,,,3.147924615384615,0.9717501384615385,7.6622573461538455,3.64,3.302,3.9744,86.43,73.1059,93.7155
Counsel employees about work-related issues and assist employees to correct job-skill deficiencies.,counsel employee about work relate issue and assist employee to correct job skill deficiency,0.0028664121640108,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2917.0,Core,135.0,07/2013,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0023573811210203743,0.0028802823724099493,U.S.,600680.0,0.5,39.87,82930,0.3,23.3,29.44,37.64,47.9,59.75,48460,61240,78300,99630,124280,,,0.7994011538461538,0.4036396730769231,1.8309785923076922,3.64,3.3282,3.9421,94.03,86.6075,97.4565
"Review, evaluate, accept, and coordinate completion of work bid from contractors.",Review evaluate accept and coordinate completion of work bid from contractor,0.0044299097080168,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",15264.0,Core,134.0,07/2013,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.003643225368849758,0.004451345484633667,U.S.,600680.0,0.5,39.87,82930,0.3,23.3,29.44,37.64,47.9,59.75,48460,61240,78300,99630,124280,,,0.7353403846153845,0.2475057076923077,2.295008896153846,3.6,3.2003,4.0024,65.94,53.593,76.447
"Compute estimates and actual costs of factors such as materials, labor, or outside contractors.",compute estimate and actual cost of factor such as material labor or outside contractor,0.0036481609360138,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2919.0,Core,132.0,07/2013,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0030003032449350663,0.003665813928521808,U.S.,600680.0,0.5,39.87,82930,0.3,23.3,29.44,37.64,47.9,59.75,48460,61240,78300,99630,124280,,,1.3812988461538462,0.5369915461538461,3.29139035,3.75,3.4075,4.0979,78.06,63.3784,87.9777
"Determine schedules, sequences, and assignments for work activities, based on work priority, quantity of equipment, and skill of personnel.",determine schedule sequence and assignment for work activity base on work priority quantity of equipment and skill of personnel,0.0023452463160089,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2912.0,Core,136.0,07/2013,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0019287663717439947,0.002356594668335477,U.S.,600680.0,0.5,39.87,82930,0.3,23.3,29.44,37.64,47.9,59.75,48460,61240,78300,99630,124280,,,2.664872307692307,0.8106414576923078,7.718925461538461,3.68,3.3805,3.9799,82.28,64.7467,92.1459
"Install and configure new equipment, including operating software or peripheral equipment.",install and configure new equipment include operate software or peripheral equipment,0.0549829969642089,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11632.0,Core,68.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.04521885604866496,0.05524905277986531,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,2.022886923076923,0.3990047423076923,7.680284138461538,3.98,3.5636,4.4043,94.4,84.4277,98.1262
Calibrate testing instruments.,calibrate testing instrument,0.0087295279540331,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11647.0,Supplemental,68.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.007179297050380401,0.00877176904324869,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,0.6159557692307692,0.17623871923076925,2.262906180769231,3.2,2.8401,3.5631,46.33,24.4719,69.6955
Reinstall software programs or adjust settings on existing software to fix machine malfunctions.,Reinstall software program or adjust setting on exist software to fix machine malfunction,0.0621490273742361,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11626.0,Core,68.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.051112308851216065,0.06244975871089039,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,3.0103634615384616,0.9652453384615385,7.442137869230769,4.16,3.7765,4.5427,98.21,86.8542,99.7821
"Read specifications, such as blueprints, charts, or schematics, to determine machine settings or adjustments.",read specification such as blueprint chart or schematic to determine machine setting or adjustment,0.0470352177821787,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11642.0,Core,68.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.03868248112219917,0.047262815292728376,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,0.8323084615384616,0.35719995769230767,1.882275203846154,3.79,3.53,4.0531,80.48,42.5555,95.8239
Analyze equipment performance records to assess equipment functioning.,analyze equipment performance record to assess equipment functioning,0.0057328243280217,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11644.0,Core,67.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.00471476224204083,0.005760564744819999,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,2.3337365384615385,1.1135422423076924,4.512278588461538,3.87,3.7106,4.0336,87.72,78.0503,93.4885
"Advise customers concerning equipment operation, maintenance, or programming.",Advise customer concern equipment operation maintenance or programming,0.0019543719300074,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11627.0,Core,68.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0016073053097866484,0.001963828890279547,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,4.316728846153846,1.8293738384615381,8.276466992307693,4.27,3.8838,4.6534,98.02,87.6291,99.7105
"Align, adjust, or calibrate equipment according to specifications.",Align adjust or calibrate equipment accord to specification,0.0211072168440802,49-2011,"Computer, Automated Teller, and Office Machine Repairers",11635.0,Core,67.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.017358897345696032,0.02120935201501939,U.S.,73010.0,2.6,23.95,49820,0.7,16.89,18.41,22.53,28.57,33.44,35120,38290,46860,59420,69560,,,3.0022403846153844,1.232271780769231,6.077057753846154,4.23,4.0606,4.4081,84.24,40.6424,97.661
"Calibrate and align components, using scales, gauges, and other measuring instruments.",calibrate and align component use scale gauge and other measure instrument,0.0028664121640108,49-2021,Radio Mechanics,13717.0,Core,92.0,06/2007,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0023573811210203743,0.0028802823724099493,U.S.,11400.0,6.6,33.26,69180,1.7,20.37,24.33,30.86,40.76,49.3,42360,50610,64190,84770,102550,,,,,,,,,,,
"Install updated software, and programs that maintain existing software or provide requested features such as time-correlated call routing.",Install update software and program that maintain exist software or provide request feature such as time correlate call routing,0.0071660304100272,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",11675.0,Supplemental,157.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.005893452802551099,0.007200705931025073,U.S.,153890.0,2.0,32.04,66650,0.5,20.41,24.32,30.11,38.48,45.66,42440,50580,62630,80040,94970,,,0.331195,0.12405507692307693,1.1119542076923077,3.48,2.9156,4.047,66.5,49.6701,79.9663
"Perform database verifications, using computers.",perform database verification use computer,0.0233221716980886,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",11677.0,Supplemental,157.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.01918051003012091,0.023435024757336224,U.S.,153890.0,2.0,32.04,66650,0.5,20.41,24.32,30.11,38.48,45.66,42440,50580,62630,80040,94970,,,1.4324634615384615,0.5063016961538461,4.909062180769231,3.71,3.3469,4.0809,71.68,52.8905,85.0861
"Analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods.",analyze test reading computer printout and trouble report to determine equipment repair need and require repair method,0.0020846633920079,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",11656.0,Core,159.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.001714458997105764,0.0020947508162981908,U.S.,153890.0,2.0,32.04,66650,0.5,20.41,24.32,30.11,38.48,45.66,42440,50580,62630,80040,94970,,,1.1596723076923077,0.43735951153846153,2.644540515384615,3.59,3.0892,4.0831,88.06,79.0999,93.4905
Enter codes needed to correct electronic switching system programming.,enter code need to correct electronic switching system programming,0.0023452463160089,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",11676.0,Supplemental,156.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0019287663717439947,0.002356594668335477,U.S.,153890.0,2.0,32.04,66650,0.5,20.41,24.32,30.11,38.48,45.66,42440,50580,62630,80040,94970,,,0.42636307692307696,0.14648178846153848,1.4853137884615384,3.58,3.1412,4.0209,56.8,40.1609,72.0338
"Diagnose and correct problems from remote locations, using special switchboards to find the sources of problems.",diagnose and correct problem from remote location use special switchboard to find the source of problem,0.0027361207020103,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",11673.0,Supplemental,157.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0022502274337012585,0.002749360446391306,U.S.,153890.0,2.0,32.04,66650,0.5,20.41,24.32,30.11,38.48,45.66,42440,50580,62630,80040,94970,,,0.4756392307692308,0.22161350769230773,0.9449232692307692,3.81,3.3876,4.2237,56.07,32.7251,77.0024
"Adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",adjust repair or replace malfunctioning component or assembly use hand tool or soldering iron,0.0020846633920079,49-2091,Avionics Technicians,9939.0,Core,87.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.001714458997105764,0.0020947508162981908,U.S.,20900.0,3.0,39.59,82350,0.7,23.93,31.33,39.13,47.59,54.61,49770,65170,81390,98990,113580,,,4.033475,2.3029336461538463,6.515256776923078,4.42,4.1547,4.6869,100.0,,
"Test and troubleshoot instruments, components, and assemblies, using circuit testers, oscilloscopes, or voltmeters.",test and troubleshoot instrument component and assembly use circuit tester oscilloscope or voltmeter,0.0019543719300074,49-2091,Avionics Technicians,9934.0,Core,87.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0016073053097866484,0.001963828890279547,U.S.,20900.0,3.0,39.59,82350,0.7,23.93,31.33,39.13,47.59,54.61,49770,65170,81390,98990,113580,,,4.4281092307692305,2.542662880769231,7.001729484615385,4.51,4.3098,4.7065,96.65,87.3792,99.1753
Interpret flight test data to diagnose malfunctions and systemic performance problems.,interpret flight test datum to diagnose malfunction and systemic performance problem,0.0032572865500123,49-2091,Avionics Technicians,9937.0,Core,87.0,07/2015,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.00267884218297772,0.0032730481504658782,U.S.,20900.0,3.0,39.59,82350,0.7,23.93,31.33,39.13,47.59,54.61,49770,65170,81390,98990,113580,,,2.375708461538461,1.23913405,4.2819295653846146,4.08,3.7908,4.3598,85.91,72.9694,93.2257
"Inspect electrical connections, wiring, relays, charging resistance boxes, and storage batteries, following wiring diagrams.",inspect electrical connection wiring relay charge resistance box and storage battery follow wiring diagram,0.0023452463160089,49-2092,"Electric Motor, Power Tool, and Related Repairers",11694.0,Core,144.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0019287663717439947,0.002356594668335477,U.S.,16570.0,6.2,27.32,56820,1.3,17.46,21.38,25.96,31.82,38.09,36310,44480,53990,66180,79230,,,2.4826223076923077,1.1248259923076924,4.969269315384615,3.95,3.5515,4.34,74.41,55.7435,87.0349
Read service guides to find information needed to perform repairs.,read service guide to find information need to perform repair,0.0024755377780094,49-2092,"Electric Motor, Power Tool, and Related Repairers",11695.0,Core,145.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.00203592005906311,0.0024875165943541197,U.S.,16570.0,6.2,27.32,56820,1.3,17.46,21.38,25.96,31.82,38.09,36310,44480,53990,66180,79230,,,2.6703365384615383,1.1924537576923075,5.406879050000001,3.96,3.6387,4.2726,85.02,73.1569,92.1972
"Verify and adjust alignments and dimensions of parts, using gauges and tracing lathes.",verify and adjust alignment and dimension of part use gauge and trace lathe,0.0027361207020103,49-2092,"Electric Motor, Power Tool, and Related Repairers",11713.0,Supplemental,143.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.0022502274337012585,0.002749360446391306,U.S.,16570.0,6.2,27.32,56820,1.3,17.46,21.38,25.96,31.82,38.09,36310,44480,53990,66180,79230,,,1.7799811538461539,0.5162201730769231,5.366009796153847,4.25,3.9186,4.5715,57.92,45.4642,69.4477
"Measure velocity, horsepower, revolutions per minute (rpm), amperage, circuitry, and voltage of units or parts to diagnose problems, using ammeters, voltmeters, wattmeters, and other testing devices.",measure velocity horsepower revolution per minute rpm amperage circuitry and voltage of unit or part to diagnose problem use ammeter voltmeter wattmeter and other testing device,0.0364816093601386,49-2092,"Electric Motor, Power Tool, and Related Repairers",11688.0,Core,145.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.03000303244935115,0.03665813928521868,U.S.,16570.0,6.2,27.32,56820,1.3,17.46,21.38,25.96,31.82,38.09,36310,44480,53990,66180,79230,,,2.573619615384615,0.9774205538461538,5.838305642307693,4.21,3.7867,4.6262,83.6,72.6521,90.7191
"Inspect and test electrical systems and equipment to locate and diagnose malfunctions, using visual inspections, testing devices, and computer software.",inspect and test electrical system and equipment to locate and diagnose malfunction use visual inspection test device and computer software,0.012638271814048,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",11727.0,Core,78.0,12/2006,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.01039390766995378,0.012699426823807886,U.S.,7310.0,5.3,38.93,80980,2.1,23.79,31.61,39.77,46.03,51.01,49490,65750,82730,95730,106110,,,2.1004623076923075,0.9704916730769231,4.271064719230769,4.03,3.7103,4.3476,85.95,69.6765,94.2132
"Advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",Advise management regard customer satisfaction product performance or suggestion for product improvement,0.0078174877200297,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",889.0,Core,110.0,07/2014,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.006429221239146677,0.00785531556111829,U.S.,59990.0,2.4,35.07,72950,0.7,21.63,27.28,34.28,40.94,49.55,44980,56750,71300,85160,103060,,,1.5689373076923077,0.3469453423076923,6.3167748,3.36,2.7436,3.9794,73.61,55.8073,86.0355
Calibrate testing instruments and installed or repaired equipment to prescribed specifications.,calibrate testing instrument and instal or repair equipment to prescribe specification,0.0211072168440802,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",888.0,Core,113.0,07/2014,Incumbent,49,"Installation, Maintenance, and Repair Occupations",1.0,1.0,0.017358897345696032,0.02120935201501939,U.S.,59990.0,2.4,35.07,72950,0.7,21.63,27.28,34.28,40.94,49.55,44980,56750,71300,85160,103060,,,0.9708600000000001,0.30791849615384614,2.8860722269230767,3.99,3.8207,4.1545,86.74,67.9745,95.2713
