gwa_title,iwa_title,dwa_title,task
Monitoring and Controlling Resources,"Replenish inventories of materials, equipment, or products.","Maintain food, beverage, or equipment inventories.","Maintain adequate supplies of items, such as clean linens, silverware, glassware, dishes, or trays."
Performing General Physical Activities,Provide food or beverage services.,Serve food or beverages.,"Serve ice water, coffee, rolls, or butter to patrons."
Handling and Moving Objects,Stock supplies or products.,Stock serving stations or dining areas with food or supplies.,Fill beverage or ice dispensers.
Handling and Moving Objects,Stock supplies or products.,Stock serving stations or dining areas with food or supplies.,Stock cabinets or serving areas with condiments and refill condiment containers.
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.",Provide customers with general information or assistance.,Locate items requested by customers.
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move equipment, supplies or food to required locations.","Carry food, dishes, trays, or silverware from kitchens or supply departments to serving counters."
Performing General Physical Activities,Provide food or beverage services.,Serve food or beverages.,Serve food to customers when waiters or waitresses need assistance.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.","Clean food preparation areas, facilities, or equipment.","Clean and polish counters, shelves, walls, furniture, or equipment in food service areas or other areas of restaurants and mop or vacuum floors."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean food service areas.,"Clean and polish counters, shelves, walls, furniture, or equipment in food service areas or other areas of restaurants and mop or vacuum floors."
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move equipment, supplies or food to required locations.",Carry trays from food counters to tables for cafeteria patrons.
Handling and Moving Objects,Stock supplies or products.,Stock serving stations or dining areas with food or supplies.,Replenish supplies of food or equipment at steam tables or service bars.
Performing Administrative Activities,Execute financial transactions.,Operate cash registers.,Run cash registers.
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Clean tableware.,Wash glasses or other serving equipment at bars.
Handling and Moving Objects,Prepare foods or beverages.,Add garnishes to food.,Garnish foods and position them on tables to make them visible and accessible.
Handling and Moving Objects,Prepare foods or beverages.,Arrange food for serving.,Garnish foods and position them on tables to make them visible and accessible.
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move equipment, supplies or food to required locations.",Carry linens to or from laundry areas.
Handling and Moving Objects,Stock supplies or products.,Store supplies or goods in kitchens or storage areas.,Stock refrigerating units with wines or bottled beer or replace empty beer kegs.
Performing General Physical Activities,Prepare mixtures or solutions.,Mix ingredients.,Mix and prepare flavors for mixed drinks.
Handling and Moving Objects,Prepare foods or beverages.,Cut cooked or raw foods.,Slice and pit fruit used to garnish drinks.
Performing General Physical Activities,Escort others.,Usher patrons to seats or exits.,Greet and seat customers.
Assisting and Caring for Others,"Provide general assistance to others, such as customers, patrons, or motorists.","Greet customers, patrons, or visitors.",Greet and seat customers.
Assisting and Caring for Others,"Provide general assistance to others, such as customers, patrons, or motorists.",Assist customers to ensure comfort or safety.,Greet and seat customers.
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Clean tableware.,"Wash dishes, glassware, flatware, pots, or pans, using dishwashers or by hand."
Handling and Moving Objects,Stock supplies or products.,Store supplies or goods in kitchens or storage areas.,"Place clean dishes, utensils, or cooking equipment in storage areas."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.","Clean food preparation areas, facilities, or equipment.","Maintain kitchen work areas, equipment, or utensils in clean and orderly condition."
Handling and Moving Objects,Stock supplies or products.,Store supplies or goods in kitchens or storage areas.,"Stock supplies, such as food or utensils, in serving stations, cupboards, refrigerators, or salad bars."
Handling and Moving Objects,Stock supplies or products.,Stock serving stations or dining areas with food or supplies.,"Stock supplies, such as food or utensils, in serving stations, cupboards, refrigerators, or salad bars."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.","Clean food preparation areas, facilities, or equipment.",Sweep or scrub floors.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.","Clean food preparation areas, facilities, or equipment.",Clean garbage cans with water or steam.
Performing General Physical Activities,Dispose of waste or debris.,Remove trash.,"Sort and remove trash, placing it in designated pickup areas."
Handling and Moving Objects,Prepare foods or beverages.,Prepare foods for cooking or serving.,Clean or prepare various foods for cooking or serving.
Performing General Physical Activities,Provide food or beverage services.,Arrange tables or dining areas.,Set up banquet tables.
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move equipment, supplies or food to required locations.","Transfer supplies or equipment between storage and work areas, by hand or using hand trucks."
Handling and Moving Objects,Stock supplies or products.,Store supplies or goods in kitchens or storage areas.,Receive and store supplies.
Handling and Moving Objects,Package objects.,Package food or supplies.,Prepare and package individual place settings.
Performing General Physical Activities,"Load products, materials, or equipment for transportation or further processing.","Load shipments, belongings, or materials.",Load or unload trucks that deliver or pick up food or supplies.
Assisting and Caring for Others,"Provide general assistance to others, such as customers, patrons, or motorists.",Assist customers with seating arrangements.,Assign patrons to tables suitable for their needs and according to rotation so that servers receive an appropriate number of seatings.
Performing for or Working Directly with the Public,Respond to customer problems or inquiries.,Communicate with customers to resolve complaints or ensure satisfaction.,"Speak with patrons to ensure satisfaction with food and service, to respond to complaints, or to make conversation."
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.",Provide customers with general information or assistance.,Answer telephone calls and respond to inquiries or transfer calls.
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,"Inspect facilities, equipment or supplies to ensure conformance to standards.",Inspect dining and serving areas to ensure cleanliness and proper setup.
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,"Inspect facilities, equipment or supplies to ensure conformance to standards.","Inspect restrooms for cleanliness and availability of supplies, and clean restrooms when necessary."
Handling and Moving Objects,Package objects.,Package food or supplies.,Take and prepare to-go orders.
Performing Administrative Activities,Execute financial transactions.,Take customer orders.,Take and prepare to-go orders.
Handling and Moving Objects,Prepare foods or beverages.,Assist chefs or caterers with food or drink preparation.,"Assist other restaurant workers by serving food and beverages, or by bussing tables."
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.",Present food or beverage information or menus to customers.,Provide guests with menus.
Assisting and Caring for Others,"Provide general assistance to others, such as customers, patrons, or motorists.",Assist customers with seating arrangements.,Greet guests and seat them at tables or in waiting areas.
Scheduling Work and Activities,Prepare schedules for services or facilities.,Schedule dining reservations.,Receive and record patrons' dining reservations.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Communicate dining or order details to kitchen personnel.,"Maintain contact with kitchen staff, management, serving staff, and customers to ensure that dining details are handled properly and customers' concerns are addressed."
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.",Present food or beverage information or menus to customers.,Inform patrons of establishment specialties and features.
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.",Provide customers with general information or assistance.,Inform patrons of establishment specialties and features.
Communicating with People Outside the Organization,"Provide information to guests, clients, or customers.",Provide customers with general information or assistance.,"Direct patrons to coatrooms and waiting areas, such as lounges."
Performing Administrative Activities,Execute financial transactions.,Operate cash registers.,Operate cash registers to accept payments for food and beverages.
Performing Administrative Activities,Execute financial transactions.,Process customer bills or payments.,Operate cash registers to accept payments for food and beverages.
Documenting/Recording Information,Maintain operational records.,Record operational or production data.,"Prepare cash receipts after establishments close, and make bank deposits."
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Coordinate activities of food service staff.,Supervise and coordinate activities of dining room staff to ensure that patrons receive prompt and courteous service.
Monitoring and Controlling Resources,Purchase goods or services.,"Order materials, supplies, or equipment.",Order or requisition supplies and equipment for tables and serving stations.
Training and Teaching Others,Train others on operational or work procedures.,Train food preparation or food service personnel.,"Hire, train, and supervise food and beverage service staff."
Staffing Organizational Units,Perform human resources activities.,Perform human resources activities.,"Hire, train, and supervise food and beverage service staff."
Thinking Creatively,Develop recipes or menus.,Plan menu options.,Confer with other staff to help plan establishments' menus.
"Guiding, Directing, and Motivating Subordinates","Direct organizational operations, activities, or procedures.",Manage food service operations or parts of operations.,Perform marketing and advertising services.
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Maintain equipment or systems to ensure proper functioning.,Check and maintain equipment to ensure that it is in working order.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Remove snow.,"Perform grounds maintenance tasks, such as removing snow and mowing the lawn."
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise maintenance workers.,"Direct activities for stopping the spread of infections in facilities, such as hospitals."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect work to ensure standards are met.,Inspect work performed to ensure that it meets specifications and established standards.
"Guiding, Directing, and Motivating Subordinates",Assign work to others.,Plan employee work schedules.,Plan and prepare employee work schedules.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.,Perform or assist with cleaning duties as necessary.
Getting Information,Investigate organizational or operational problems.,Investigate work related complaints to determine corrective actions.,"Investigate complaints about service and equipment, and take corrective action."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate maintenance or cleaning activities.,Coordinate activities with other departments to ensure that services are provided in an efficient and timely manner.
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect buildings or grounds to determine condition.,Inspect and evaluate the physical condition of facilities to determine the type of work required.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,"Select equipment, materials, or supplies for cleaning or maintenance activities.","Select the most suitable cleaning materials for different types of linens, furniture, flooring, and surfaces."
Training and Teaching Others,Train others on operational or work procedures.,Instruct staff in work policies or procedures.,"Instruct staff in work policies and procedures, and the use and maintenance of equipment."
Monitoring and Controlling Resources,"Distribute materials, supplies, or resources.",Distribute supplies to workers.,Issue supplies and equipment to workers.
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Determine resource needs.,Forecast necessary levels of staffing and stock at different times to facilitate effective scheduling and ordering.
Monitoring and Controlling Resources,Monitor resources or inventories.,Inventory materials or equipment.,Inventory stock to ensure that supplies and equipment are available in adequate amounts.
"Judging the Qualities of Objects, Services, or People",Evaluate personnel capabilities or performance.,Evaluate current or prospective maintenance employees.,"Evaluate employee performance and recommend personnel actions, such as promotions, transfers, and dismissals."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate maintenance or cleaning activities.,"Confer with staff to resolve performance and personnel problems, and to discuss company policies."
Training and Teaching Others,Train others on operational or work procedures.,Instruct staff in work policies or procedures.,"Confer with staff to resolve performance and personnel problems, and to discuss company policies."
Thinking Creatively,"Develop educational programs, plans, or procedures.",Establish work standards.,Establish and implement operational standards and procedures for the departments supervised.
Scheduling Work and Activities,Schedule operational activities.,Arrange maintenance activities.,"Recommend or arrange for additional services, such as painting, repair work, renovations, and the replacement of furnishings and equipment."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend changes or corrective procedures.,"Recommend or arrange for additional services, such as painting, repair work, renovations, and the replacement of furnishings and equipment."
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,"Select equipment, materials, or supplies for cleaning or maintenance activities.","Select and order or purchase new equipment, supplies, or furnishings."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend organizational process or policy changes.,Recommend changes that could improve service and increase operational efficiency.
Documenting/Recording Information,Maintain operational records.,Document work hours or activities.,"Maintain required records of work hours, budgets, payrolls, and other information."
"Judging the Qualities of Objects, Services, or People",Evaluate personnel capabilities or performance.,Evaluate current or prospective maintenance employees.,"Screen job applicants, and hire new employees."
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise maintenance workers.,"Supervise in-house services, such as laundries, maintenance and repair, dry cleaning, or valet services."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate maintenance or cleaning activities.,"Advise managers, desk clerks, or admitting personnel of rooms ready for occupancy."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Estimate project development or operational costs.,Estimate maintenance service requirements or costs.,"Perform financial tasks, such as estimating costs and preparing and managing budgets."
Documenting/Recording Information,Maintain operational records.,Document work hours or activities.,"Prepare reports on activity, personnel, and information, such as occupancy, hours worked, facility usage, work performed, and departmental expenses."
Thinking Creatively,"Develop educational programs, plans, or procedures.",Establish work standards.,Establish and enforce operating procedures and work standards that will ensure adequate performance and personnel safety.
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect work to ensure standards are met.,"Inspect completed work to ensure conformance to specifications, standards, and contract requirements."
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise maintenance workers.,"Direct activities of workers who perform duties, such as landscaping, cultivating lawns, or pruning trees and shrubs."
"Guiding, Directing, and Motivating Subordinates",Assign work to others.,Plan employee work schedules.,"Schedule work for crews, depending on work priorities, crew or equipment availability, or weather conditions."
Performing General Physical Activities,Perform agricultural activities.,Plant greenery to improve landscape appearance.,"Plant or maintain vegetation through activities such as mulching, fertilizing, watering, mowing, or pruning."
Performing General Physical Activities,Perform agricultural activities.,"Irrigate lawns, trees, or plants.","Plant or maintain vegetation through activities such as mulching, fertilizing, watering, mowing, or pruning."
Handling and Moving Objects,Cut trees or other vegetation.,Trim trees or other vegetation.,"Plant or maintain vegetation through activities such as mulching, fertilizing, watering, mowing, or pruning."
"Inspecting Equipment, Structures, or Materials",Inspect completed work or finished products.,Inspect work to ensure standards are met.,"Monitor project activities to ensure that instructions are followed, deadlines are met, and schedules are maintained."
Training and Teaching Others,Train others on operational or work procedures.,Instruct staff in work policies or procedures.,"Train workers in tasks such as transplanting or pruning trees or shrubs, finishing cement, using equipment, or caring for turf."
Performing General Physical Activities,Perform general construction or extraction activities.,Assist skilled construction or extraction personnel.,Provide workers with assistance in performing duties as necessary to meet deadlines.
Monitoring and Controlling Resources,Monitor resources or inventories.,Inventory materials or equipment.,"Inventory supplies of tools, equipment, or materials to ensure that sufficient supplies are available and items are in usable condition."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate maintenance or cleaning activities.,Confer with other supervisors to coordinate work activities with those of other departments or units.
"Judging the Qualities of Objects, Services, or People",Evaluate personnel capabilities or performance.,Evaluate current or prospective maintenance employees.,"Perform personnel-related activities, such as hiring workers, evaluating staff performance, or taking disciplinary actions when performance problems occur."
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare chemicals for work application.,"Direct or perform mixing or application of fertilizers, insecticides, herbicides, or fungicides."
Making Decisions and Solving Problems,Determine resource needs of projects or operations.,Determine resource needs.,"Review contracts or work assignments to determine service, machine, or workforce requirements for jobs."
Documenting/Recording Information,Maintain operational records.,Document work hours or activities.,"Maintain required records, such as personnel information or project records."
Documenting/Recording Information,Maintain operational records.,Document work hours or activities.,"Prepare or maintain required records, such as work activity or personnel reports."
Getting Information,Investigate organizational or operational problems.,Investigate work related complaints to determine corrective actions.,Order the performance of corrective work when problems occur and recommend procedural changes to avoid such problems.
Thinking Creatively,"Develop educational programs, plans, or procedures.",Establish work standards.,Order the performance of corrective work when problems occur and recommend procedural changes to avoid such problems.
"Monitoring Processes, Materials, or Surroundings",Monitor environmental conditions.,Inspect landscaping to determine treatment needs.,Identify diseases or pests affecting landscaping and order appropriate treatments.
Getting Information,Investigate organizational or operational problems.,Investigate work related complaints to determine corrective actions.,Investigate work-related complaints to verify problems and to determine responses.
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise maintenance workers.,"Direct or assist workers engaged in the maintenance or repair of equipment, such as power tools or motorized equipment."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Remove snow.,"Install or maintain landscaped areas, performing tasks such as removing snow, pouring cement curbs, or repairing sidewalks."
Documenting/Recording Information,Maintain operational records.,Document work hours or activities.,"Perform administrative duties, such as authorizing leaves or processing time sheets."
Providing Consultation and Advice to Others,Advise others on business or operational matters.,Recommend organizational process or policy changes.,Recommend changes in working conditions or equipment used to increase crew efficiency.
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate maintenance or cleaning activities.,Confer with managers or landscape architects to develop plans or schedules for landscaping maintenance or improvement.
Interpreting the Meaning of Information for Others,Explain technical details of products or services.,Provide information about landscaping services or costs.,"Negotiate with customers regarding fees for landscaping, lawn service, or groundskeeping work."
Interpreting the Meaning of Information for Others,Explain technical details of products or services.,Provide information about landscaping services or costs.,"Answer inquiries from current or prospective customers regarding methods, materials, or price ranges."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Estimate project development or operational costs.,Estimate maintenance service requirements or costs.,"Prepare service estimates based on labor, material, and machine costs and maintain budgets for individual projects."
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect buildings or grounds to determine condition.,"Tour grounds, such as parks, botanical gardens, cemeteries, or golf courses, to inspect conditions of plants and soil."
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Estimate project development or operational costs.,Estimate maintenance service requirements or costs.,"Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs."
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise maintenance workers.,"Design or supervise the installation of sprinkler systems, calculating water pressure, or valve and pipe coverage needs."
"Monitoring Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor building premises to ensure occupant or visitor safety.,Monitor building security and safety by performing tasks such as locking doors after operating hours or checking electrical appliance use to ensure that hazards are not created.
Performing General Physical Activities,Dispose of waste or debris.,Remove debris from work sites.,"Mow or trim lawns or shrubbery, using mowers or hand or power trimmers, and clear debris from grounds."
Handling and Moving Objects,Cut trees or other vegetation.,Trim trees or other vegetation.,"Mow or trim lawns or shrubbery, using mowers or hand or power trimmers, and clear debris from grounds."
Controlling Machines and Processes,Operate agricultural or forestry equipment.,Operate grounds maintenance equipment.,"Mow or trim lawns or shrubbery, using mowers or hand or power trimmers, and clear debris from grounds."
"Operating Vehicles, Mechanized Devices, or Equipment",Operate transportation equipment or vehicles.,Drive trucks or other vehicles to or at work sites.,"Drive vans, industrial trucks, or other vehicles required to travel to, or to perform, cleaning work."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.,"Service, clean, or supply restrooms."
Performing General Physical Activities,Dispose of waste or debris.,Dispose of trash or waste materials.,Gather and empty trash.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,"Clean building floors by sweeping, mopping, scrubbing, or vacuuming."
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare chemicals for work application.,Follow procedures for the use of chemical cleaners and power equipment to prevent damage to floors and fixtures.
Performing General Physical Activities,Prepare mixtures or solutions.,Prepare chemicals for work application.,"Mix water and detergents or acids in containers to prepare cleaning solutions, according to specifications."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,"Strip, seal, finish, and polish floors."
"Communicating with Supervisors, Peers, or Subordinates",Communicate with others about operational plans or activities.,Confer with coworkers to coordinate maintenance or cleaning activities.,Notify managers concerning the need for major repairs or additions to building operating systems.
Making Decisions and Solving Problems,Select materials or equipment for operations or projects.,"Select equipment, materials, or supplies for cleaning or maintenance activities.",Requisition supplies or equipment needed for cleaning and maintenance duties.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,"Clean windows, glass partitions, or mirrors, using soapy water or other cleaners, sponges, or squeegees."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,Steam-clean or shampoo carpets.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move furniture.,"Set up, arrange, or remove decorations, tables, chairs, ladders, or scaffolding to prepare facilities for events, such as banquets or meetings."
Handling and Moving Objects,Arrange displays or decorations.,Decorate indoor or outdoor spaces.,"Set up, arrange, or remove decorations, tables, chairs, ladders, or scaffolding to prepare facilities for events, such as banquets or meetings."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,Clean and polish furniture and fixtures.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,"Dust furniture, walls, machines, or equipment."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean equipment or supplies.,"Dust furniture, walls, machines, or equipment."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,"Dust furniture, walls, machines, or equipment."
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move furniture.,"Move heavy furniture, equipment, or supplies, either manually or with hand trucks."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Remove snow.,"Remove snow from sidewalks, driveways, or parking areas, using snowplows, snow blowers, or snow shovels, or spread snow-melting chemicals."
"Operating Vehicles, Mechanized Devices, or Equipment",Operate transportation equipment or vehicles.,Drive trucks or other vehicles to or at work sites.,"Remove snow from sidewalks, driveways, or parking areas, using snowplows, snow blowers, or snow shovels, or spread snow-melting chemicals."
Handling and Moving Objects,Apply protective solutions or coatings.,Treat facilities to eliminate pests.,Spray insecticides or fumigants to prevent insect or rodent infestation.
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Maintain equipment or systems to ensure proper functioning.,"Make adjustments or minor repairs to heating, cooling, ventilating, plumbing, or electrical systems."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.,"Clean chimneys, flues, and connecting pipes, using power or hand tools."
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move materials, equipment, or supplies.","Carry linens, towels, toilet items, and cleaning supplies, using wheeled carts."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.,"Clean rooms, hallways, lobbies, lounges, restrooms, corridors, elevators, stairways, locker rooms, and other work areas so that health standards are met."
Performing General Physical Activities,Dispose of waste or debris.,Dispose of trash or waste materials.,"Empty wastebaskets, empty and clean ashtrays, and transport other trash and waste to disposal areas."
Monitoring and Controlling Resources,Monitor resources or inventories.,Inventory materials or equipment.,"Replenish supplies, such as drinking glasses, linens, writing supplies, and bathroom items."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.,"Keep storage areas and carts well-stocked, clean, and tidy."
Monitoring and Controlling Resources,Monitor resources or inventories.,Inventory materials or equipment.,"Keep storage areas and carts well-stocked, clean, and tidy."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,Dust and polish furniture and equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean equipment or supplies.,Dust and polish furniture and equipment.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,"Sweep, scrub, wax, or polish floors, using brooms, mops, or powered scrubbing and waxing machines."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,"Clean rugs, carpets, upholstered furniture, and draperies, using vacuum cleaners and shampooers."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,"Clean rugs, carpets, upholstered furniture, and draperies, using vacuum cleaners and shampooers."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,"Wash windows, walls, ceilings, and woodwork, waxing and polishing as necessary."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean building walls or flooring.,"Wash windows, walls, ceilings, and woodwork, waxing and polishing as necessary."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,Hang draperies and dust window blinds.
Handling and Moving Objects,Arrange displays or decorations.,Decorate indoor or outdoor spaces.,Hang draperies and dust window blinds.
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean equipment or supplies.,"Disinfect equipment and supplies, using germicides or steam-operated sterilizers."
"Monitoring Processes, Materials, or Surroundings","Monitor safety or security of work areas, facilities, or properties.",Monitor building premises to ensure occupant or visitor safety.,"Observe precautions required to protect hotel and guest property and report damage, theft, and found articles to supervisors."
Processing Information,Sort materials or products.,Sort materials or products.,"Sort clothing and other articles, load washing machines, and iron and fold dried items."
Performing General Physical Activities,"Clean workpieces, finished products, or other objects.",Operate garment treatment equipment.,"Sort clothing and other articles, load washing machines, and iron and fold dried items."
Monitoring and Controlling Resources,Monitor resources or inventories.,Inventory materials or equipment.,"Sort, count, and mark clean linens and store them in linen closets."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean furniture or fixtures.,"Polish silver accessories and metalwork, such as fixtures and fittings."
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move furniture.,"Prepare rooms for meetings and arrange decorations, media equipment, and furniture for social or business functions."
Handling and Moving Objects,Arrange displays or decorations.,Decorate indoor or outdoor spaces.,"Prepare rooms for meetings and arrange decorations, media equipment, and furniture for social or business functions."
Scheduling Work and Activities,Schedule operational activities.,"Schedule repair, installation or maintenance activities.",Request repair services and wait for repair workers to arrive.
Repairing and Maintaining Mechanical Equipment,Maintain tools or equipment.,Maintain equipment or systems to ensure proper functioning.,Replace light bulbs.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move furniture.,"Deliver television sets, ironing boards, baby cribs, and rollaway beds to guests' rooms."
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move furniture.,Move and arrange furniture and turn mattresses.
Providing Consultation and Advice to Others,Advise others on products or services.,Recommend products or services to customers.,Recommend treatment and prevention methods for pest problems to clients.
"Estimating the Quantifiable Characteristics of Products, Events, or Information",Estimate project development or operational costs.,Estimate maintenance service requirements or costs.,"Measure area dimensions requiring treatment, calculate fumigant requirements, and estimate cost for service."
Documenting/Recording Information,Maintain operational records.,Document work hours or activities.,Record work activities performed.
"Inspecting Equipment, Structures, or Materials",Inspect facilities or equipment.,Inspect buildings or grounds to determine condition.,"Inspect premises to identify infestation source and extent of damage to property, wall, or roof porosity and access to infested locations."
Handling and Moving Objects,Apply protective solutions or coatings.,Treat greenery or surfaces with protective substances.,"Spray or dust chemical solutions, powders, or gases into rooms, onto clothing, furnishings, or wood, or over marshlands, ditches, or catch basins."
Performing General Physical Activities,"Clean tools, equipment, facilities, or work areas.",Clean facilities or sites.,Clean work site after completion of job.
"Guiding, Directing, and Motivating Subordinates",Supervise personnel activities.,Supervise maintenance workers.,"Direct, or assist other workers in, treatment or extermination processes to eliminate or control rodents, insects, or weeds."
"Operating Vehicles, Mechanized Devices, or Equipment",Operate transportation equipment or vehicles.,Drive trucks or other vehicles to or at work sites.,Drive truck equipped with power spraying equipment.
Performing General Physical Activities,Maintain safety or security.,Block physical access to restricted areas.,Post warning signs and lock building doors to secure area to be fumigated.
"Communicating with Supervisors, Peers, or Subordinates",Notify others of emergencies or problems.,"Notify others of emergencies, problems, or hazards.",Post warning signs and lock building doors to secure area to be fumigated.
Handling and Moving Objects,Apply protective solutions or coatings.,Treat facilities to eliminate pests.,"Cut or bore openings in building or surrounding concrete, access infested areas, insert nozzle, and inject pesticide to impregnate ground."
Getting Information,Read documents or materials to inform work processes.,Evaluate reports or designs to determine work needs.,Study preliminary reports or diagrams of infested area and determine treatment type required to eliminate and prevent recurrence of infestation.
Handling and Moving Objects,Apply protective solutions or coatings.,Treat facilities to eliminate pests.,"Set mechanical traps, or place poisonous paste or bait in sewers, burrows, or ditches."
Handling and Moving Objects,Apply protective solutions or coatings.,Treat facilities to eliminate pests.,"Clean and remove blockages from infested areas to facilitate spraying procedures and provide drainage, using brooms, mops, shovels, or rakes."
Controlling Machines and Processes,Operate agricultural or forestry equipment.,Operate grounds maintenance equipment.,"Operate vehicles or powered equipment, such as mowers, tractors, twin-axle vehicles, snow blowers, chainsaws, electric clippers, sod cutters, or pruning saws."
"Operating Vehicles, Mechanized Devices, or Equipment",Operate transportation equipment or vehicles.,Drive trucks or other vehicles to or at work sites.,"Operate vehicles or powered equipment, such as mowers, tractors, twin-axle vehicles, snow blowers, chainsaws, electric clippers, sod cutters, or pruning saws."
Handling and Moving Objects,Cut trees or other vegetation.,Trim trees or other vegetation.,"Mow or edge lawns, using power mowers or edgers."
