task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
"Attend professional meetings, conferences, and workshops to maintain and improve professional competence.",attend professional meetings conferences and workshops to maintain and improve professional competence,25-3021,Self-Enrichment Teachers,0.0738915384615384,3.48,78.95,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Organize and supervise games and other recreational activities to promote physical, mental, and social development.",organize and supervise games and other recreational activities to promote physical mental and social development,25-3021,Self-Enrichment Teachers,0.5568726923076923,3.32,46.83,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Participate in publicity planning and student recruitment.,participate in publicity planning and student recruitment,25-3021,Self-Enrichment Teachers,0.2161488461538461,3.23,46.7,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.",plan and supervise class projects field trips visits by guest speakers contests or other experiential activities and guide students in learning from those activities,25-3021,Self-Enrichment Teachers,0.5926219230769231,3.47,75.44,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Adapt teaching methods and instructional materials to meet students' varying needs and interests.,adapt teaching methods and instructional materials to meet students varying needs and interests,25-3021,Self-Enrichment Teachers,3.6065423076923073,4.43,96.34,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Conduct classes, workshops, and demonstrations, and provide individual instruction to teach topics and skills, such as cooking, dancing, writing, physical fitness, photography, personal finance, and flying.",conduct classes workshops and demonstrations and provide individual instruction to teach topics and skills such as cooking dancing writing physical fitness photography personal finance and flying,25-3021,Self-Enrichment Teachers,2.548030769230769,3.9,59.43,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.",observe students to determine qualifications limitations abilities interests and other individual characteristics,25-3021,Self-Enrichment Teachers,3.195014615384616,4.31,97.64,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.",instruct students individually and in groups using various teaching methods such as lectures discussions and demonstrations,25-3021,Self-Enrichment Teachers,4.910795384615384,4.49,97.67,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",establish clear objectives for all lessons units and projects and communicate those objectives to students,25-3021,Self-Enrichment Teachers,3.053589230769231,4.09,91.87,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Monitor students' performance to make suggestions for improvement and to ensure that they satisfy course standards, training requirements, and objectives.",monitor students performance to make suggestions for improvement and to ensure that they satisfy course standards training requirements and objectives,25-3021,Self-Enrichment Teachers,3.921091923076923,4.23,99.71,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Prepare students for further development by encouraging them to explore learning opportunities and to persevere with challenging tasks.,prepare students for further development by encouraging them to explore learning opportunities and to persevere with challenging tasks,25-3021,Self-Enrichment Teachers,3.0269823076923075,4.39,97.6,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Prepare materials and classrooms for class activities.,prepare materials and classrooms for class activities,25-3021,Self-Enrichment Teachers,2.164923076923077,3.8,96.11,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Enforce policies and rules governing students.,enforce policies and rules governing students,25-3021,Self-Enrichment Teachers,3.2272565384615386,3.68,90.73,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",plan and conduct activities for a balanced program of instruction demonstration and work time that provides students with opportunities to observe question and investigate,25-3021,Self-Enrichment Teachers,1.4524046153846153,3.62,82.51,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Prepare instructional program objectives, outlines, and lesson plans.",prepare instructional program objectives outlines and lesson plans,25-3021,Self-Enrichment Teachers,1.181861153846154,3.92,88.2,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Maintain accurate and complete student records as required by administrative policy.,maintain accurate and complete student records as required by administrative policy,25-3021,Self-Enrichment Teachers,2.520439230769231,4.25,79.36,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,instruct and monitor students in the use and care of equipment and materials to prevent injury and damage,25-3021,Self-Enrichment Teachers,2.52166,3.85,62.59,25-3021.00,308520.0,5440.0,25,Educational Instruction and Library Occupations
"Identify, develop, or implement intervention strategies, tutoring plans, or individualized education plans (IEPs) for students.",identify develop or implement intervention strategies tutoring plans or individualized education plans ieps for students,25-3041,Tutors,1.8933711538461535,3.83,81.82,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",provide private instruction to individual or small groups of students to improve academic performance improve occupational skills or prepare for academic or occupational tests,25-3041,Tutors,5.914486923076923,4.45,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Teach students study skills, note-taking skills, and test-taking strategies.",teach students study skills notetaking skills and testtaking strategies,25-3041,Tutors,3.423374615384615,4.45,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Administer, proctor, or score academic or diagnostic assessments.",administer proctor or score academic or diagnostic assessments,25-3041,Tutors,0.1048184615384615,2.92,54.55,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
Assess students' progress throughout tutoring sessions.,assess students progress throughout tutoring sessions,25-3041,Tutors,5.922725384615384,4.68,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Collaborate with students, parents, teachers, school administrators, or counselors to determine student needs, develop tutoring plans, or assess student progress.",collaborate with students parents teachers school administrators or counselors to determine student needs develop tutoring plans or assess student progress,25-3041,Tutors,3.556538461538461,4.15,90.91,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Communicate students' progress to students, parents, or teachers in written progress reports, in person, by phone, or by email.",communicate students progress to students parents or teachers in written progress reports in person by phone or by email,25-3041,Tutors,1.6345576923076923,3.89,86.36,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Develop teaching or training materials, such as handouts, study materials, or quizzes.",develop teaching or training materials such as handouts study materials or quizzes,25-3041,Tutors,0.416716923076923,3.43,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records.",maintain records of students assessment results progress feedback or school performance ensuring confidentiality of all records,25-3041,Tutors,3.076442307692308,3.83,81.82,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
Participate in training and development sessions to improve tutoring practices or learn new tutoring techniques.,participate in training and development sessions to improve tutoring practices or learn new tutoring techniques,25-3041,Tutors,0.253356923076923,4.18,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Provide feedback to students, using positive reinforcement techniques to encourage, motivate, or build confidence in students.",provide feedback to students using positive reinforcement techniques to encourage motivate or build confidence in students,25-3041,Tutors,6.84085,4.86,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.",review class material with students by discussing text working solutions to problems or reviewing worksheets or other assignments,25-3041,Tutors,6.731675384615385,4.73,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Monitor student performance or assist students in academic environments, such as classrooms, laboratories, or computing centers.",monitor student performance or assist students in academic environments such as classrooms laboratories or computing centers,25-3041,Tutors,3.37999,4.14,68.18,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
Organize tutoring environment to promote productivity and learning.,organize tutoring environment to promote productivity and learning,25-3041,Tutors,2.65297,3.91,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Prepare and facilitate tutoring workshops, collaborative projects, or academic support sessions for small groups of students.",prepare and facilitate tutoring workshops collaborative projects or academic support sessions for small groups of students,25-3041,Tutors,1.051923076923077,3.65,95.45,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Research or recommend textbooks, software, equipment, or other learning materials to complement tutoring.",research or recommend textbooks software equipment or other learning materials to complement tutoring,25-3041,Tutors,0.2234238461538461,2.81,95.45,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
Schedule tutoring appointments with students or their parents.,schedule tutoring appointments with students or their parents,25-3041,Tutors,3.045825,3.95,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
"Travel to students' homes, libraries, or schools to conduct tutoring sessions.",travel to students homes libraries or schools to conduct tutoring sessions,25-3041,Tutors,1.3958465384615384,3.29,63.64,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
Prepare lesson plans or learning modules for tutoring sessions according to students' needs and goals.,prepare lesson plans or learning modules for tutoring sessions according to students needs and goals,25-3041,Tutors,1.4416511538461538,3.64,100.0,25-3041.00,174660.0,1950.0,25,Educational Instruction and Library Occupations
Locate new materials and direct their acquisition and display.,locate new materials and direct their acquisition and display,25-4011,Archivists,0.3069153846153846,3.93,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Select and edit documents for publication and display, applying knowledge of subject, literary expression, and presentation techniques.",select and edit documents for publication and display applying knowledge of subject literary expression and presentation techniques,25-4011,Archivists,0.1879792307692308,3.1,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Coordinate educational and public outreach programs, such as tours, workshops, lectures, and classes.",coordinate educational and public outreach programs such as tours workshops lectures and classes,25-4011,Archivists,0.3040569230769231,3.87,96.77,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Specialize in an area of history or technology, researching topics or items relevant to collections to determine what should be retained or acquired.",specialize in an area of history or technology researching topics or items relevant to collections to determine what should be retained or acquired,25-4011,Archivists,1.3592446153846156,3.57,96.77,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
Research and record the origins and historical significance of archival materials.,research and record the origins and historical significance of archival materials,25-4011,Archivists,1.2088953846153845,4.23,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
Establish and administer policy guidelines concerning public access and use of materials.,establish and administer policy guidelines concerning public access and use of materials,25-4011,Archivists,2.623898846153846,4.58,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
Authenticate and appraise historical documents and archival materials.,authenticate and appraise historical documents and archival materials,25-4011,Archivists,0.9016592307692308,3.88,83.87,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Prepare archival records, such as document descriptions, to allow easy access to information.",prepare archival records such as document descriptions to allow easy access to information,25-4011,Archivists,1.8506803846153843,4.71,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Direct activities of workers who assist in arranging, cataloguing, exhibiting, and maintaining collections of valuable materials.",direct activities of workers who assist in arranging cataloguing exhibiting and maintaining collections of valuable materials,25-4011,Archivists,3.09955,4.48,96.77,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
Provide reference services and assistance for users needing archival materials.,provide reference services and assistance for users needing archival materials,25-4011,Archivists,2.318530384615385,4.77,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
Organize archival records and develop classification systems to facilitate access to archival materials.,organize archival records and develop classification systems to facilitate access to archival materials,25-4011,Archivists,3.9288480769230767,4.83,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Create and maintain accessible, retrievable computer archives and databases, incorporating current advances in electronic information storage technology.",create and maintain accessible retrievable computer archives and databases incorporating current advances in electronic information storage technology,25-4011,Archivists,1.8526753846153845,4.6,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Preserve records, documents, and objects, copying records to film, videotape, audiotape, disk, or computer formats as necessary.",preserve records documents and objects copying records to film videotape audiotape disk or computer formats as necessary,25-4011,Archivists,1.72612,4.32,100.0,25-4011.00,7050.0,100.0,25,Educational Instruction and Library Occupations
"Design, organize, or conduct tours, workshops, and instructional or educational sessions to acquaint individuals with an institution's facilities and materials.",design organize or conduct tours workshops and instructional or educational sessions to acquaint individuals with an institutions facilities and materials,25-4012,Curators,0.2908526923076923,3.76,95.69,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs, and develop or install exhibit materials.",plan and organize the acquisition storage and exhibition of collections and related materials including the selection of exhibition themes and designs and develop or install exhibit materials,25-4012,Curators,0.6496938461538462,4.35,98.38,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
Establish specifications for reproductions and oversee their manufacture or select items from commercially available replica sources.,establish specifications for reproductions and oversee their manufacture or select items from commercially available replica sources,25-4012,Curators,0.0488084615384615,2.46,49.43,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
Arrange insurance coverage for objects on loan or for special exhibits and recommend changes in coverage for the entire collection.,arrange insurance coverage for objects on loan or for special exhibits and recommend changes in coverage for the entire collection,25-4012,Curators,0.021236923076923,3.31,48.13,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Write and review grant proposals, journal articles, institutional reports, and publicity materials.",write and review grant proposals journal articles institutional reports and publicity materials,25-4012,Curators,0.2829453846153846,3.76,89.66,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Schedule events and organize details, including refreshment, entertainment, decorations, and the collection of any fees.",schedule events and organize details including refreshment entertainment decorations and the collection of any fees,25-4012,Curators,0.1465192307692307,2.82,64.53,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Attend meetings, conventions, and civic events to promote use of institution's services, to seek financing, and to maintain community alliances.",attend meetings conventions and civic events to promote use of institutions services to seek financing and to maintain community alliances,25-4012,Curators,0.2534,3.64,94.95,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Study, examine, and test acquisitions to authenticate their origin, composition, history, and to assess their current value.",study examine and test acquisitions to authenticate their origin composition history and to assess their current value,25-4012,Curators,0.5147653846153846,3.84,86.34,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
Plan and conduct special research projects in area of interest or expertise.,plan and conduct special research projects in area of interest or expertise,25-4012,Curators,0.5536734615384615,4.03,94.42,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Negotiate and authorize purchase, sale, exchange, or loan of collections.",negotiate and authorize purchase sale exchange or loan of collections,25-4012,Curators,0.146066923076923,3.84,90.57,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Train and supervise curatorial, fiscal, technical, research, and clerical staff, as well as volunteers or interns.",train and supervise curatorial fiscal technical research and clerical staff as well as volunteers or interns,25-4012,Curators,0.6811088461538461,3.63,95.2,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
Inspect premises to assess the need for repairs and to ensure that climate and pest control issues are addressed.,inspect premises to assess the need for repairs and to ensure that climate and pest control issues are addressed,25-4012,Curators,0.4689280769230769,3.81,75.72,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
Provide information from the institution's holdings to other curators and to the public.,provide information from the institutions holdings to other curators and to the public,25-4012,Curators,0.6368015384615384,3.94,97.36,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Develop and maintain an institution's registration, cataloging, and basic record-keeping systems, using computer databases.",develop and maintain an institutions registration cataloging and basic recordkeeping systems using computer databases,25-4012,Curators,1.6151165384615385,4.15,77.48,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
"Confer with the board of directors to formulate and interpret policies, to determine budget requirements, and to plan overall operations.",confer with the board of directors to formulate and interpret policies to determine budget requirements and to plan overall operations,25-4012,Curators,0.1693611538461538,3.52,69.34,25-4012.00,12280.0,90.0,25,Educational Instruction and Library Occupations
Plan and conduct research to develop and improve methods of restoring and preserving specimens.,plan and conduct research to develop and improve methods of restoring and preserving specimens,25-4013,Museum Technicians and Conservators,0.3554738461538461,3.44,54.18,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Notify superior when restoration of artifacts requires outside experts.,notify superior when restoration of artifacts requires outside experts,25-4013,Museum Technicians and Conservators,0.1060811538461538,3.68,73.39,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Estimate cost of restoration work.,estimate cost of restoration work,25-4013,Museum Technicians and Conservators,0.0631888461538461,3.1,41.86,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Preserve or direct preservation of objects, using plaster, resin, sealants, hardeners, and shellac.",preserve or direct preservation of objects using plaster resin sealants hardeners and shellac,25-4013,Museum Technicians and Conservators,0.1853715384615384,3.49,38.83,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Build, repair, and install wooden steps, scaffolds, and walkways to gain access to or permit improved view of exhibited equipment.",build repair and install wooden steps scaffolds and walkways to gain access to or permit improved view of exhibited equipment,25-4013,Museum Technicians and Conservators,1.244773846153846,3.31,29.58,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Lead tours and teach educational courses to students and the general public.,lead tours and teach educational courses to students and the general public,25-4013,Museum Technicians and Conservators,0.1707015384615384,3.15,79.14,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Photograph objects for documentation.,photograph objects for documentation,25-4013,Museum Technicians and Conservators,1.2348742307692309,4.15,87.9,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Deliver artwork on courier trips.,deliver artwork on courier trips,25-4013,Museum Technicians and Conservators,0.0251580769230769,3.42,49.09,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Enter information about museum collections into computer databases.,enter information about museum collections into computer databases,25-4013,Museum Technicians and Conservators,2.816766153846154,4.01,72.73,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Perform tests and examinations to establish storage and conservation requirements, policies, and procedures.",perform tests and examinations to establish storage and conservation requirements policies and procedures,25-4013,Museum Technicians and Conservators,0.2653815384615384,3.88,59.58,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Direct and supervise curatorial, technical, and student staff in the handling, mounting, care, and storage of art objects.",direct and supervise curatorial technical and student staff in the handling mounting care and storage of art objects,25-4013,Museum Technicians and Conservators,0.5355080769230769,3.83,56.67,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Study object documentation or conduct standard chemical and physical tests to ascertain the object's age, composition, original appearance, need for treatment or restoration, and appropriate preservation method.",study object documentation or conduct standard chemical and physical tests to ascertain the objects age composition original appearance need for treatment or restoration and appropriate preservation method,25-4013,Museum Technicians and Conservators,1.251117307692308,4.24,52.62,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Determine whether objects need repair and choose the safest and most effective method of repair.,determine whether objects need repair and choose the safest and most effective method of repair,25-4013,Museum Technicians and Conservators,0.9333742307692308,4.15,92.44,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Repair, restore, and reassemble artifacts, designing and fabricating missing or broken parts, to restore them to their original appearance and prevent deterioration.",repair restore and reassemble artifacts designing and fabricating missing or broken parts to restore them to their original appearance and prevent deterioration,25-4013,Museum Technicians and Conservators,2.1612984615384616,4.28,70.54,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Perform on-site field work which may involve interviewing people, inspecting and identifying artifacts, note-taking, viewing sites and collections, and repainting exhibition spaces.",perform onsite field work which may involve interviewing people inspecting and identifying artifacts notetaking viewing sites and collections and repainting exhibition spaces,25-4013,Museum Technicians and Conservators,0.1857080769230769,3.24,69.12,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Classify and assign registration numbers to artifacts and supervise inventory control.,classify and assign registration numbers to artifacts and supervise inventory control,25-4013,Museum Technicians and Conservators,1.2361457692307694,4.27,50.91,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Recommend preservation procedures, such as control of temperature and humidity, to curatorial and building staff.",recommend preservation procedures such as control of temperature and humidity to curatorial and building staff,25-4013,Museum Technicians and Conservators,0.2387215384615384,3.89,71.22,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Specialize in particular materials or types of object, such as documents and books, paintings, decorative arts, textiles, metals, or architectural materials.",specialize in particular materials or types of object such as documents and books paintings decorative arts textiles metals or architectural materials,25-4013,Museum Technicians and Conservators,1.223803846153846,3.92,66.0,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Supervise and work with volunteers.,supervise and work with volunteers,25-4013,Museum Technicians and Conservators,0.9350484615384616,3.59,79.51,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
Prepare artifacts for storage and shipping.,prepare artifacts for storage and shipping,25-4013,Museum Technicians and Conservators,0.8144561538461538,4.07,82.76,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Clean objects, such as paper, textiles, wood, metal, glass, rock, pottery, and furniture, using cleansers, solvents, soap solutions, and polishes.",clean objects such as paper textiles wood metal glass rock pottery and furniture using cleansers solvents soap solutions and polishes,25-4013,Museum Technicians and Conservators,1.0851661538461537,4.19,83.82,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Coordinate exhibit installations, assisting with design, constructing displays, dioramas, display cases, and models, and ensuring the availability of necessary materials.",coordinate exhibit installations assisting with design constructing displays dioramas display cases and models and ensuring the availability of necessary materials,25-4013,Museum Technicians and Conservators,0.3261226923076923,3.57,64.26,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Install, arrange, assemble, and prepare artifacts for exhibition, ensuring the artifacts' safety, reporting their status and condition, and identifying and correcting any problems with the set up.",install arrange assemble and prepare artifacts for exhibition ensuring the artifacts safety reporting their status and condition and identifying and correcting any problems with the set up,25-4013,Museum Technicians and Conservators,1.1512411538461538,4.38,82.46,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Prepare reports on the operation of conservation laboratories, documenting the condition of artifacts, treatment options, and the methods of preservation and repair used.",prepare reports on the operation of conservation laboratories documenting the condition of artifacts treatment options and the methods of preservation and repair used,25-4013,Museum Technicians and Conservators,1.250438076923077,4.04,48.5,25-4013.00,13070.0,70.0,25,Educational Instruction and Library Occupations
"Direct and train library staff in duties, such as receiving, shelving, researching, cataloging, and equipment use.",direct and train library staff in duties such as receiving shelving researching cataloging and equipment use,25-4022,Librarians and Media Collections Specialists,1.000809230769231,3.72,76.36,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Evaluate materials to determine outdated or unused items to be discarded.,evaluate materials to determine outdated or unused items to be discarded,25-4022,Librarians and Media Collections Specialists,0.4094680769230769,3.72,93.66,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, Web pages, electronic pathfinders, software programs, and online tutorials.",develop maintain and troubleshoot information access aids such as databases annotated bibliographies web pages electronic pathfinders software programs and online tutorials,25-4022,Librarians and Media Collections Specialists,0.5774815384615385,3.67,73.65,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Engage in professional development activities, such as taking continuing education classes and attending or participating in conferences, workshops, professional meetings, and associations.",engage in professional development activities such as taking continuing education classes and attending or participating in conferences workshops professional meetings and associations,25-4022,Librarians and Media Collections Specialists,0.3403573076923077,3.6,92.13,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.",compile lists of books periodicals articles and audiovisual materials on particular subjects,25-4022,Librarians and Media Collections Specialists,0.7525492307692307,3.58,87.18,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Assemble and arrange display materials.,assemble and arrange display materials,25-4022,Librarians and Media Collections Specialists,0.644745,3.14,90.97,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Evaluate vendor products and performance, negotiate contracts, and place orders.",evaluate vendor products and performance negotiate contracts and place orders,25-4022,Librarians and Media Collections Specialists,0.4333323076923077,3.58,80.4,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Arrange for interlibrary loans of materials not available in a particular library.,arrange for interlibrary loans of materials not available in a particular library,25-4022,Librarians and Media Collections Specialists,0.6971196153846154,3.5,68.11,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Represent library or institution on internal and external committees.,represent library or institution on internal and external committees,25-4022,Librarians and Media Collections Specialists,0.1850526923076923,3.42,83.75,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Set up, adjust, and operate audio-visual equipment, such as cameras, film and slide projectors, and recording equipment, for meetings, events, classes, seminars, and video conferences.",set up adjust and operate audiovisual equipment such as cameras film and slide projectors and recording equipment for meetings events classes seminars and video conferences,25-4022,Librarians and Media Collections Specialists,0.5078580769230769,3.32,70.04,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Maintain inventory of audio-visual equipment.,maintain inventory of audiovisual equipment,25-4022,Librarians and Media Collections Specialists,0.3292592307692308,3.55,60.39,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Confer with teachers to select course materials and to determine which training aids are best suited to particular grade levels.,confer with teachers to select course materials and to determine which training aids are best suited to particular grade levels,25-4022,Librarians and Media Collections Specialists,0.9300269230769233,3.58,75.99,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Troubleshoot problems with audio-visual equipment.,troubleshoot problems with audiovisual equipment,25-4022,Librarians and Media Collections Specialists,2.232058461538461,3.79,77.34,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Develop library policies and procedures.,develop library policies and procedures,25-4022,Librarians and Media Collections Specialists,0.169665,3.75,89.01,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Plan and deliver client-centered programs and services, such as special services for corporate clients, storytelling for children, newsletters, or programs for special groups.",plan and deliver clientcentered programs and services such as special services for corporate clients storytelling for children newsletters or programs for special groups,25-4022,Librarians and Media Collections Specialists,1.34684,3.86,79.02,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Locate unusual or unique information in response to specific requests.,locate unusual or unique information in response to specific requests,25-4022,Librarians and Media Collections Specialists,1.0918857692307693,3.79,95.27,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Check books in and out of the library.,check books in and out of the library,25-4022,Librarians and Media Collections Specialists,5.108810384615385,4.37,83.63,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Teach library patrons basic computer skills, such as searching computerized databases.",teach library patrons basic computer skills such as searching computerized databases,25-4022,Librarians and Media Collections Specialists,2.481101153846154,4.36,90.46,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources.",review and evaluate materials using book reviews catalogs faculty recommendations and current holdings to select and order print audiovisual and electronic resources,25-4022,Librarians and Media Collections Specialists,1.136589230769231,4.19,92.99,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.",search standard reference materials including online sources and the internet to answer patrons reference questions,25-4022,Librarians and Media Collections Specialists,2.9591784615384613,4.14,86.92,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
Analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,analyze patrons requests to determine needed information and assist in furnishing or locating that information,25-4022,Librarians and Media Collections Specialists,2.3975711538461537,4.09,96.38,25-4022.00,131830.0,1630.0,25,Educational Instruction and Library Occupations
