task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
"Experiment with different sounds, and types and pieces of music, using synthesizers and computers as necessary to test and evaluate ideas.",Music Directors and Composers,29,3.55,4.0,5,1,3.0,4.0,"experiment with different sounds, and types and pieces of music, using synthesizers and computers as necessary to test and evaluate ideas.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,3.7339865384615387,0.0,,False,,,,False
"Transcribe ideas for musical compositions into musical notation, using instruments, pen and paper, or computers.",Music Directors and Composers,29,3.0,3.0,5,1,2.0,4.0,"transcribe ideas for musical compositions into musical notation, using instruments, pen and paper, or computers.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,3.3004626923076925,0.0,,False,,,,False
Compose songs or create vocal arrangements.,Musicians and Singers,29,2.97,3.0,5,1,2.0,3.0,compose songs or create vocal arrangements.,27-2042,Musicians and Singers,musicians and singers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,42.45,,18.74,,38350.0,280.0,24.2,,32.912,,,,,,37090.0,260.0,,,,,1.473973846153846,0.0,,False,,,,False
"Apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",Music Directors and Composers,29,2.69,3.0,4,1,2.0,3.0,"apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,3.754513076923077,0.0,,False,,,,False
Arrange and edit music to fit style and purpose.,Musicians and Singers,29,2.66,3.0,4,2,2.0,3.0,arrange and edit music to fit style and purpose.,27-2042,Musicians and Singers,musicians and singers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,42.45,,18.74,,38350.0,280.0,24.2,,32.912,,,,,,37090.0,260.0,,,,,0.17582884615384617,0.0,,False,,,,False
"Write music for commercial mediums, including advertising jingles or film soundtracks.",Music Directors and Composers,29,2.59,3.0,4,1,2.0,3.0,"write music for commercial mediums, including advertising jingles or film soundtracks.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,0.6749592307692308,0.0,,False,,,,False
"Transpose music to alternate keys, or to fit individual styles or purposes.",Musicians and Singers,29,2.55,2.0,4,1,2.0,3.0,"transpose music to alternate keys, or to fit individual styles or purposes.",27-2042,Musicians and Singers,musicians and singers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,42.45,,18.74,,38350.0,280.0,24.2,,32.912,,,,,,37090.0,260.0,,,,,0.36690346153846154,0.0,,False,,,,False
"Mix and edit voices, music, and taped sound effects for live performances and for prerecorded events, using sound mixing boards.",Sound Engineering Technicians,29,2.52,2.0,5,1,1.0,4.0,"mix and edit voices, music, and taped sound effects for live performances and for prerecorded events, using sound mixing boards.",27-4014,Sound Engineering Technicians,sound engineering technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,31.94,66430.0,15.81,32880.0,13050.0,320.0,25.64,53330.0,34.870400000000004,72528.8,8.87,18450.0,12.0632,25092.0,13840.0,220.0,,,,,2.7478469230769234,0.0,,False,4.8273392307692315,0.0,,False
Copy parts from scores for individual performers.,Music Directors and Composers,29,2.41,2.0,5,1,1.0,4.0,copy parts from scores for individual performers.,27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,0.9521184615384617,0.0,,False,,,,False
"Determine voices, instruments, harmonic structures, rhythms, tempos, and tone balances required to achieve the effects desired in a musical composition.",Music Directors and Composers,29,2.41,2.0,4,1,2.0,3.0,"determine voices, instruments, harmonic structures, rhythms, tempos, and tone balances required to achieve the effects desired in a musical composition.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,2.797640769230769,0.0,,False,,,,False
"Separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage.",Sound Engineering Technicians,29,2.41,2.0,4,1,1.0,4.0,"separate instruments, vocals, and other sounds, and combine sounds during the mixing or postproduction stage.",27-4014,Sound Engineering Technicians,sound engineering technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,31.94,66430.0,15.81,32880.0,13050.0,320.0,25.64,53330.0,34.870400000000004,72528.8,8.87,18450.0,12.0632,25092.0,13840.0,220.0,,,,,4.250044230769231,0.0,,False,,,,False
"Write musical scores for orchestras, bands, choral groups, or individual instrumentalists or vocalists, using knowledge of music theory and of instrumental and vocal capabilities.",Music Directors and Composers,29,2.38,2.0,3,1,2.0,3.0,"write musical scores for orchestras, bands, choral groups, or individual instrumentalists or vocalists, using knowledge of music theory and of instrumental and vocal capabilities.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,1.5345957692307692,0.0,,False,,,,False
"Arrange music composed by others, changing the music to achieve desired effects.",Music Directors and Composers,29,2.34,2.0,4,1,2.0,3.0,"arrange music composed by others, changing the music to achieve desired effects.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,0.8344538461538462,0.0,,False,,,,False
"Rewrite original musical scores in different musical styles by changing rhythms, harmonies, or tempos.",Music Directors and Composers,29,2.34,2.0,4,1,2.0,3.0,"rewrite original musical scores in different musical styles by changing rhythms, harmonies, or tempos.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,1.108251923076923,0.0,,False,,,,False
"Transcribe musical compositions and melodic lines to adapt them to a particular group, or to create a particular musical style.",Music Directors and Composers,29,2.34,2.0,4,1,2.0,3.0,"transcribe musical compositions and melodic lines to adapt them to a particular group, or to create a particular musical style.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,0.16512769230769228,0.0,,False,,,,False
Transpose music from one voice or instrument to another to accommodate particular musicians.,Music Directors and Composers,29,2.31,2.0,4,1,2.0,3.0,transpose music from one voice or instrument to another to accommodate particular musicians.,27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,2.00563,0.0,,False,,,,False
"Reproduce and duplicate sound recordings from original recording media, using sound editing and duplication equipment.",Sound Engineering Technicians,29,2.24,2.0,4,1,1.0,3.0,"reproduce and duplicate sound recordings from original recording media, using sound editing and duplication equipment.",27-4014,Sound Engineering Technicians,sound engineering technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,31.94,66430.0,15.81,32880.0,13050.0,320.0,25.64,53330.0,34.870400000000004,72528.8,8.87,18450.0,12.0632,25092.0,13840.0,220.0,,,,,1.7618338461538463,0.0,,False,3.072811153846154,0.0,,False
"Fill in details of orchestral sketches, such as adding vocal parts to scores.",Music Directors and Composers,29,2.1,2.0,3,1,2.0,2.0,"fill in details of orchestral sketches, such as adding vocal parts to scores.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,1.7848726923076923,0.0,,False,,,,False
Explore and develop musical ideas based on sources such as imagination or sounds in the environment.,Music Directors and Composers,29,2.07,2.0,4,1,2.0,2.0,explore and develop musical ideas based on sources such as imagination or sounds in the environment.,27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,1.5379184615384616,0.0,,False,,,,False
"Create original musical forms, or write within circumscribed musical forms such as sonatas, symphonies, or operas.",Music Directors and Composers,29,1.93,2.0,3,1,2.0,2.0,"create original musical forms, or write within circumscribed musical forms such as sonatas, symphonies, or operas.",27-2041,Music Directors and Composers,music directors and composers,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,30.61,63670.0,37.51,78010.0,12330.0,130.0,23.95,49820.0,32.572,67755.20000000001,18.79,39080.0,25.5544,53148.8,21540.0,240.0,,,,,0.659855,0.0,,False,,,,False
Mix and regulate sound inputs and feeds or coordinate audio feeds with television pictures.,Audio and Video Technicians,29,1.72,1.0,4,1,1.0,2.0,mix and regulate sound inputs and feeds or coordinate audio feeds with television pictures.,27-4011,Audio and Video Technicians,audio and video technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,26.36,54830.0,20.0,41600.0,70080.0,1930.0,,,,,,,,,,,,,,,1.7538142307692308,0.0,,False,,,,False
"Analyze impact on, and risk to, essential business functions or information systems to identify acceptable recovery time periods and resource requirements.",Business Continuity Planners,29,1.55,1.0,4,1,1.0,2.0,"analyze impact on, and risk to, essential business functions or information systems to identify acceptable recovery time periods and resource requirements.",,Business Continuity Planners,business continuity planners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39452538461538456,0.0,,False,0.3590269230769231,0.0,,False
"Make exposures necessary for the requested procedures, rejecting and repeating work that does not meet established standards.",Radiologic Technologists and Technicians,29,1.55,2.0,2,1,1.0,2.0,"make exposures necessary for the requested procedures, rejecting and repeating work that does not meet established standards.",29-2034,Radiologic Technologists and Technicians,radiologic technologists and technicians,,,,,,,Healthcare Practitioners and Technical Occupations,,37.34,77660.0,38.5,80080.0,223460.0,1580.0,,,,,,,,,,,,,,,7.342839615384616,0.0,,False,,,,False
Respond to and report in-flight emergencies and malfunctions.,"Airline Pilots, Copilots, and Flight Engineers",29,1.52,1.0,3,1,1.0,2.0,respond to and report in-flight emergencies and malfunctions.,53-2011,"Airline Pilots, Copilots, and Flight Engineers","airline pilots, copilots, and flight engineers",,,,,,,Transportation and Material Moving Occupations,,,226600.0,,133230.0,99300.0,1780.0,,117290.0,,159514.40000000002,,88920.0,,120931.20000000001,81350.0,1240.0,,,,,0.2697815384615384,0.0,,False,0.09323692307692308,0.0,,False
"Analyze areas of potential risk to the assets, earning capacity, or success of organizations.",Financial Risk Specialists,29,1.38,1.0,4,1,1.0,1.0,"analyze areas of potential risk to the assets, earning capacity, or success of organizations.",13-2054,Financial Risk Specialists,financial risk specialists,,,,,,,Business and Financial Operations Occupations,,50.96,106000.0,37.95,78940.0,56320.0,620.0,,,,,,,,,,,,,,,,,,False,,,,False
Assess the nature and level of physical security threats so that the scope of the problem can be determined.,Security Management Specialists,29,1.34,1.0,3,1,1.0,2.0,assess the nature and level of physical security threats so that the scope of the problem can be determined.,,Security Management Specialists,security management specialists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
"Conduct statistical analyses to quantify risk, using statistical analysis software or econometric models.",Financial Risk Specialists,29,1.28,1.0,4,1,1.0,1.0,"conduct statistical analyses to quantify risk, using statistical analysis software or econometric models.",13-2054,Financial Risk Specialists,financial risk specialists,,,,,,,Business and Financial Operations Occupations,,50.96,106000.0,37.95,78940.0,56320.0,620.0,,,,,,,,,,,,,,,,,,False,,,,False
Devise scenario analyses reflecting possible severe market events.,Financial Risk Specialists,29,1.24,1.0,4,1,1.0,1.0,devise scenario analyses reflecting possible severe market events.,13-2054,Financial Risk Specialists,financial risk specialists,,,,,,,Business and Financial Operations Occupations,,50.96,106000.0,37.95,78940.0,56320.0,620.0,,,,,,,,,,,,,,,,,,False,,,,False
Obtain and serve subpoenas.,"Fraud Examiners, Investigators and Analysts",29,1.24,1.0,2,1,1.0,1.0,obtain and serve subpoenas.,,"Fraud Examiners, Investigators and Analysts","fraud examiners, investigators and analysts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,0.0,,False,0.11384615384615385,0.0,,False
Evaluate possibility of losses due to catastrophe or excessive insurance.,Insurance Underwriters,29,1.21,1.0,3,1,1.0,1.0,evaluate possibility of losses due to catastrophe or excessive insurance.,13-2053,Insurance Underwriters,insurance underwriters,,,,,,,Business and Financial Operations Occupations,,38.4,79880.0,30.49,63410.0,107820.0,460.0,31.27,65040.0,42.5272,88454.40000000001,26.07,54230.0,35.455200000000005,73752.8,89960.0,400.0,,,,,3.140317692307692,0.0,,False,4.7479861538461545,0.0,,False
Assess risk levels associated with collective bargaining strategies.,Labor Relations Specialists,29,1.14,1.0,3,1,1.0,1.0,assess risk levels associated with collective bargaining strategies.,13-1075,Labor Relations Specialists,labor relations specialists,,,,,,,Business and Financial Operations Occupations,,44.95,93500.0,44.1,91730.0,64590.0,210.0,28.28,58820.0,38.460800000000006,79995.20000000001,26.11,54310.0,35.5096,73861.6,79330.0,340.0,,,,,0.14375,0.0,,False,0.7773069230769231,0.0,,False
"Interview key staff or tour facilities to identify efficiency-improvement, cost-reduction, or service-delivery opportunities.",Logistics Engineers,29,1.14,1.0,2,1,1.0,1.0,"interview key staff or tour facilities to identify efficiency-improvement, cost-reduction, or service-delivery opportunities.",,Logistics Engineers,logistics engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2432973076923077,0.0,,False,0.06711538461538462,0.0,,False
"Keep track of leave time, such as vacation, personal, and sick leave, for employees.",Payroll and Timekeeping Clerks,28,3.29,3.5,5,1,2.0,4.0,"keep track of leave time, such as vacation, personal, and sick leave, for employees.",43-3051,Payroll and Timekeeping Clerks,payroll and timekeeping clerks,,,,,,,Office and Administrative Support Occupations,,26.58,55290.0,26.34,54790.0,156950.0,1530.0,19.71,41000.0,26.805600000000002,55760.00000000001,18.32,38100.0,24.915200000000002,51816.00000000001,166700.0,1520.0,,,,,1.486138846153846,0.0,,False,0.6379211538461538,0.0,,False
"Record employee information, such as exemptions, transfers, and resignations, to maintain and update payroll records.",Payroll and Timekeeping Clerks,28,3.18,3.0,5,1,2.75,4.0,"record employee information, such as exemptions, transfers, and resignations, to maintain and update payroll records.",43-3051,Payroll and Timekeeping Clerks,payroll and timekeeping clerks,,,,,,,Office and Administrative Support Occupations,,26.58,55290.0,26.34,54790.0,156950.0,1530.0,19.71,41000.0,26.805600000000002,55760.00000000001,18.32,38100.0,24.915200000000002,51816.00000000001,166700.0,1520.0,,,,,0.9655892307692308,0.0,,False,1.2345626923076922,0.0,,False
Contact prospective or existing customers to discuss how services can meet their needs.,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",28,3.07,3.0,5,2,2.75,4.0,contact prospective or existing customers to discuss how services can meet their needs.,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","sales representatives of services, except advertising, insurance, financial services, and travel",,,,,,,Sales and Related Occupations,,31.86,66260.0,28.83,59970.0,1189330.0,16000.0,,,,,,,,,,,,,,,,,,False,,,,False
"Record data for each employee, including such information as addresses, weekly earnings, absences, amount of sales or production, supervisory reports on performance, and dates of and reasons for terminations.","Human Resources Assistants, Except Payroll and Timekeeping",28,3.07,3.0,4,1,2.0,4.0,"record data for each employee, including such information as addresses, weekly earnings, absences, amount of sales or production, supervisory reports on performance, and dates of and reasons for terminations.",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping","human resources assistants, except payroll and timekeeping",,,,,,,Office and Administrative Support Occupations,,23.77,49440.0,22.65,47120.0,92580.0,570.0,18.32,38100.0,24.915200000000002,51816.00000000001,17.68,36770.0,24.044800000000002,50007.200000000004,138910.0,830.0,,,,,2.1679396153846153,0.0,,False,1.5536046153846155,0.0,,False
Complete time sheets showing employees' arrival and departure times.,Payroll and Timekeeping Clerks,28,2.93,3.0,5,1,2.0,4.0,complete time sheets showing employees' arrival and departure times.,43-3051,Payroll and Timekeeping Clerks,payroll and timekeeping clerks,,,,,,,Office and Administrative Support Occupations,,26.58,55290.0,26.34,54790.0,156950.0,1530.0,19.71,41000.0,26.805600000000002,55760.00000000001,18.32,38100.0,24.915200000000002,51816.00000000001,166700.0,1520.0,,,,,1.1537673076923078,0.0,,False,0.6118669230769231,0.0,,False
Conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns.,Atmospheric and Space Scientists,28,2.82,3.0,4,1,2.0,3.25,conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns.,19-2021,Atmospheric and Space Scientists,atmospheric and space scientists,,,,,,,"Life, Physical, and Social Science Occupations",,46.85,97450.0,28.67,59640.0,8780.0,,43.18,89820.0,58.7248,122155.20000000001,43.87,91250.0,59.6632,124100.00000000001,10370.0,130.0,,,,,0.2723969230769231,0.0,,False,1.5468073076923077,0.0,,False
Contact property owners and advertise services to solicit property sales listings.,Real Estate Sales Agents,28,2.82,3.0,4,1,2.75,3.0,contact property owners and advertise services to solicit property sales listings.,41-9022,Real Estate Sales Agents,real estate sales agents,,,,,,,Sales and Related Occupations,,27.08,56320.0,26.63,55380.0,190600.0,5110.0,20.85,43370.0,28.356000000000005,58983.200000000004,18.09,37630.0,24.602400000000003,51176.8,151700.0,2310.0,,,,,2.435192307692308,0.0,,False,0.69165,0.0,,False
"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",Personal Financial Advisors,28,2.82,3.0,5,2,2.0,3.0,"prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",13-2052,Personal Financial Advisors,personal financial advisors,,,,,,,Business and Financial Operations Occupations,,49.11,102140.0,32.31,67210.0,270480.0,2620.0,42.86,89160.0,58.2896,121257.6,35.74,74340.0,48.60640000000001,101102.40000000001,197580.0,1700.0,,,,,0.6452307692307693,0.0,,False,,,,False
"Apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",Special Effects Artists and Animators,28,2.61,3.0,4,1,2.0,3.0,"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",27-1014,Special Effects Artists and Animators,special effects artists and animators,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,47.98,99800.0,30.2,62820.0,21280.0,190.0,,,,,,,,,,,,,,,1.2389023076923076,0.0,,False,,,,False
"Coordinate production activities with other functional units, such as procurement, maintenance, or quality control.",Automotive Engineers,28,2.21,2.0,3,2,2.0,2.0,"coordinate production activities with other functional units, such as procurement, maintenance, or quality control.",,Automotive Engineers,automotive engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5994492307692307,0.0,,False,0.7063907692307692,0.0,,False
"Coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing.",Fuel Cell Engineers,28,2.18,2.0,3,2,2.0,2.0,"coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing.",,Fuel Cell Engineers,fuel cell engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8509615384615384,0.0,,False,0.19966307692307694,0.0,,False
Develop computer models for hydrologic predictions.,Hydrologists,28,2.18,2.0,4,1,1.75,3.0,develop computer models for hydrologic predictions.,19-2043,Hydrologists,hydrologists,,,,,,,"Life, Physical, and Social Science Occupations",,44.26,92060.0,42.94,89310.0,5720.0,100.0,38.24,79550.0,52.006400000000006,108188.00000000001,,,,,6580.0,100.0,,,,,0.5079934615384615,0.0,,False,0.7253223076923077,0.0,,False
Develop computer models for hydrologic predictions.,Hydrologic Technicians,28,2.14,2.0,4,1,1.75,3.0,develop computer models for hydrologic predictions.,19-4044,Hydrologic Technicians,hydrologic technicians,,,,,,,"Life, Physical, and Social Science Occupations",,28.16,58570.0,31.71,65960.0,2940.0,40.0,,,,,,,,,,,,,,,,,,False,,,,False
Coordinate testing with contract laboratories and vendors.,Quality Control Analysts,28,2.07,2.0,3,2,2.0,2.0,coordinate testing with contract laboratories and vendors.,,Quality Control Analysts,quality control analysts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27780807692307696,0.0,,False,0.39627192307692305,0.0,,False
Keep a current record of staff members' whereabouts and availability.,Receptionists and Information Clerks,28,2.07,2.0,4,1,1.0,3.0,keep a current record of staff members' whereabouts and availability.,43-4171,Receptionists and Information Clerks,receptionists and information clerks,,,,,,,Office and Administrative Support Occupations,,17.9,37230.0,17.35,36090.0,964530.0,12090.0,13.12,27300.0,17.8432,37128.0,11.91,24770.0,16.1976,33687.200000000004,975890.0,10500.0,,,,,3.1792419230769227,0.0,,False,3.1412126923076924,0.0,,False
Monitor incoming and outgoing pictures and sound feeds to ensure quality and notify directors of any possible problems.,Audio and Video Technicians,28,2.07,2.0,3,1,2.0,2.25,monitor incoming and outgoing pictures and sound feeds to ensure quality and notify directors of any possible problems.,27-4011,Audio and Video Technicians,audio and video technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,26.36,54830.0,20.0,41600.0,70080.0,1930.0,,,,,,,,,,,,,,,1.084076923076923,0.0,,False,,,,False
"Catalogue and sort books and other print and non-print materials according to procedure and return them to shelves, files, or other designated storage areas.",Library Technicians,28,2.04,2.0,4,1,1.0,3.0,"catalogue and sort books and other print and non-print materials according to procedure and return them to shelves, files, or other designated storage areas.",25-4031,Library Technicians,library technicians,,,,,,,Educational Instruction and Library Occupations,,19.22,39970.0,17.61,36630.0,73770.0,510.0,15.54,32310.0,21.1344,43941.600000000006,13.84,28790.0,18.822400000000002,39154.4,94170.0,530.0,,,,,5.119213846153846,0.0,,False,1.6201053846153846,0.0,,False
"Coordinate or supervise the work of suppliers or vendors in the designing, building, or testing of nanosystem devices, such as lenses or probes.",Nanosystems Engineers,28,2.0,2.0,3,1,2.0,2.0,"coordinate or supervise the work of suppliers or vendors in the designing, building, or testing of nanosystem devices, such as lenses or probes.",,Nanosystems Engineers,nanosystems engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38139269230769235,0.0,,False,0.33028846153846153,0.0,,False
Monitor broadcasts to ensure that programs conform to station or network policies and regulations.,Media Technical Directors/Managers,28,2.0,2.0,3,1,2.0,2.0,monitor broadcasts to ensure that programs conform to station or network policies and regulations.,,Media Technical Directors/Managers,media technical directors/managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9663026923076923,0.0,,False,,,,False
Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,Broadcast Technicians,28,2.0,2.0,3,1,2.0,2.0,preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,27-4012,Broadcast Technicians,broadcast technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,25.92,53920.0,16.62,34570.0,21080.0,280.0,18.02,37490.0,24.5072,50986.4,17.16,35700.0,23.337600000000002,48552.0,28270.0,140.0,,,,,2.5806465384615387,0.0,,False,2.6439796153846156,0.0,,False
"Create environmental models or simulations, using geographic information system (GIS) data and knowledge of particular ecosystems or ecological regions.",Environmental Restoration Planners,28,1.96,2.0,4,1,1.0,2.25,"create environmental models or simulations, using geographic information system (gis) data and knowledge of particular ecosystems or ecological regions.",,Environmental Restoration Planners,environmental restoration planners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17321115384615382,0.0,,False,0.06949884615384615,0.0,,False
"Coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects.",Surveyors,28,1.93,2.0,3,1,2.0,2.0,"coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects.",17-1022,Surveyors,surveyors,,,,,,,Architecture and Engineering Occupations,,34.97,72740.0,30.9,64260.0,53080.0,660.0,27.89,58020.0,37.930400000000006,78907.20000000001,29.27,60880.0,39.8072,82796.8,43140.0,610.0,,,,,0.9085765384615384,0.0,,False,0.9123796153846153,0.0,,False
"Inspect or test wiring installations, assemblies, or circuits for resistance factors or for operation, and record results.",Electrical and Electronic Equipment Assemblers,28,1.93,2.0,3,1,1.0,3.0,"inspect or test wiring installations, assemblies, or circuits for resistance factors or for operation, and record results.",,Electrical and Electronic Equipment Assemblers,electrical and electronic equipment assemblers,,,,,,,,,,,,,,,14.84,30860.0,20.1824,41969.600000000006,16.01,33300.0,21.773600000000005,45288.0,212170.0,2380.0,,,,,2.6948257692307696,0.0,,False,,,,False
Observe monitors and converse with station personnel to determine audio and video levels and to ascertain that programs are airing.,Broadcast Technicians,28,1.93,2.0,3,1,2.0,2.0,observe monitors and converse with station personnel to determine audio and video levels and to ascertain that programs are airing.,27-4012,Broadcast Technicians,broadcast technicians,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,25.92,53920.0,16.62,34570.0,21080.0,280.0,18.02,37490.0,24.5072,50986.4,17.16,35700.0,23.337600000000002,48552.0,28270.0,140.0,,,,,4.155331538461539,0.0,,False,4.091693461538462,0.0,,False
"Examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results.","Coil Winders, Tapers, and Finishers",28,1.86,2.0,3,1,1.0,3.0,"examine and test wired electrical components such as motors, armatures, and stators, using measuring devices, and record test results.",51-2021,"Coil Winders, Tapers, and Finishers","coil winders, tapers, and finishers",,,,,,,Production Occupations,,22.72,47260.0,,,12170.0,,15.26,31730.0,20.753600000000002,43152.8,,,,,14450.0,,,,,,2.5772615384615385,0.0,,False,5.122734615384616,0.0,,False
Coordinate field trips for client groups to museums or other public displays of art.,Art Therapists,28,1.75,2.0,3,1,1.0,2.0,coordinate field trips for client groups to museums or other public displays of art.,,Art Therapists,art therapists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01661653846153846,0.0,,False,0.06087423076923077,0.0,,False
